ndvi_mean,ndvi_med,ndvi_std,evi_med,elev_mean,slope_mean,par_mean,rain_total_mm,rain_mean_mm_day,cf_days,bldg_count,bldg_area,bldg_h_max,system:index
-0.5076652662052633,-0.6625791733087613,0.20529094747015791,1.9271495951115418,661.2470281065468,3.468728168306891,189.64341735839844,9.334060015397913,3.2694852352142334,29,0.0,0.0,0.0,0
-0.5173043745795031,-0.6289597612024357,0.20653859595634885,1.978629745329496,660.6673904864999,3.6412678460701735,188.99921567596658,18.50918479339749,3.2416497468948364,29,0.0,0.0,0.0,1
-0.4102985685414296,-0.587628686904227,0.16447088756655523,1.7751636366290366,652.7819772064671,5.0806774432719815,182.85452270507812,0.0,,29,0.0,0.0,0.0,2
-0.5276960738433638,-0.626939913229174,0.19322461195872842,1.7724091246366611,653.0805179041064,3.0409319128569074,182.85452270507812,0.0,,29,0.0,0.0,0.0,3
-0.6320307038431234,-0.7207019514724856,0.19761207003667308,2.2582507768933513,655.3431243012504,4.595803806007237,182.85452270507812,0.0,,29,0.0,0.0,0.0,4
-0.5255385965845869,-0.6901376401231667,0.183366900394953,2.0392029341161146,645.439310712013,3.879254367394814,182.08950805664062,0.0,,56,0.0,0.0,0.0,5
-0.4848253416966882,-0.5753139572476091,0.22272030134376347,1.5524691707064897,651.7929430118379,3.164826515384515,182.08950805664062,13.48568658548243,3.14913010597229,56,0.0,0.0,0.0,6
-0.48025261713880046,-0.6230302423637447,0.2381538515426856,1.616710584204688,665.9369678724304,3.121596567135665,189.64341735839844,9.334060015397913,3.2694852352142334,29,0.0,0.0,0.0,7
-0.5024233655679535,-0.6416441354878175,0.23055513906033537,1.7543310865064685,678.8609499998237,3.047617027329415,189.64341735839844,23.33515003849478,3.2694852352142334,29,0.6156845731020439,19.0,2.0,8
-0.5225279373078614,-0.6455582254811337,0.23883388815460563,1.8715118702112081,679.6026987347298,3.1918608161235933,188.81157651154894,46.27296198349373,3.2416497468948364,29,0.0,0.0,0.0,9
-0.48563711887457944,-0.6116257061303588,0.2283996289343319,1.7424805778024697,662.1377212369786,3.047631279487877,182.85452270507812,22.937811944998945,3.2138142585754395,29,0.0,0.0,0.0,10
-0.5048824084844655,-0.6035344305244256,0.22880838548250523,1.6453803320924787,662.4638475677524,2.991826336678512,182.85452270507812,50.46318627899768,3.2138142585754395,29,0.20017331023700535,0.0,0.0,11
-0.5232366099718837,-0.6036583691296343,0.22661156828999554,1.6480831868873247,655.9628903582103,3.097702172341823,182.85452270507812,22.937811944998945,3.2138142585754395,56,0.0,0.0,0.0,12
-0.5719276321155162,-0.6579710245132446,0.2004069856313388,1.9461386776368395,651.4879197551126,3.1056019367295833,182.85452270507812,22.937811944998945,3.2138142585754395,56,0.0,0.0,0.0,13
-0.5087924777050642,-0.6188616348029691,0.22812870065472401,1.7256646895025667,652.7460969195722,2.630494075933558,182.68201940199907,9.175124777999578,3.2138142585754395,56,0.0,0.0,0.0,14
-0.5696880227408353,-0.6740318025718598,0.20968502898501254,1.9883452944523692,650.9134699161086,3.176534077133412,182.08950805664062,4.525426747752171,3.170285224914551,56,0.0,0.0,0.0,15
-0.5916202963492497,-0.7287546396255493,0.1701621064963873,2.163329440470604,646.1732279940016,3.5483913553056947,182.08950805664062,4.525426747752171,3.170285224914551,56,0.0,0.0,0.0,16
-0.49723793236064673,-0.5957723770332574,0.2027097921931031,1.6477872792522075,649.60373070326,3.430684307287888,182.08950805664062,13.576280243256512,3.170285224914551,56,0.0,0.0,0.0,17
-0.49318296689207985,-0.5907025495390822,0.2337603622294696,1.652678565995141,660.6403564865889,3.3775419188700315,181.7016100922892,40.36569099332772,3.142018106248644,56,0.2720970514637884,15.0,0.5,18
-0.4660813869667012,-0.5426915884017944,0.2408246268478498,1.4964933207944724,666.8287318165866,3.1617462116022352,180.2120819091797,0.0,,56,0.0,0.0,0.0,19
-0.4891097557766073,-0.6186602235089264,0.19372391822957924,1.756805199978447,669.9445089581952,3.0441046419729196,189.64341735839844,4.667030007698957,3.2694852352142334,29,0.45363951244507916,0.0,2.25,20
-0.5754787224069181,-0.6709070801734924,0.17275368143678554,1.9801084990958409,667.0854603174603,3.78248030358269,189.64341735839844,0.0,,29,0.0,0.0,0.0,21
-0.5061892090901977,-0.6202583398137774,0.22459251183986004,1.7231507481975554,671.6669483372762,2.8309142555962876,189.64341735839844,4.667030007698957,3.2694852352142334,29,0.0,0.0,0.0,22
-0.4454674962038047,-0.5998166799545288,0.21630026044206,1.5548704923683965,669.1966254429609,3.1410855700746576,189.64341735839844,37.33624006159165,3.2694852352142334,29,0.0,0.0,0.5,23
-0.5336140799234916,-0.6786026459030353,0.23351562899728048,1.9874363049689001,712.566606794605,8.655738807850177,189.64341735839844,23.33515003849478,3.2694852352142334,29,0.0,0.0,0.0,24
-0.5084676755525948,-0.6437272807631764,0.2255607904315552,1.8414755827480427,698.6880645532996,6.4763705541099315,188.8148514755129,46.27296198349373,3.2416497468948364,29,0.0,0.0,0.0,25
-0.4827575319840868,-0.6201066317015312,0.23446265523493165,1.6915612820909065,677.4384855833249,2.8756853293198947,182.85452270507812,22.937811944998945,3.2138142585754395,29,0.0,0.0,0.0,26
-0.5063541410221177,-0.6338431664875576,0.2332753458620383,1.6916395823098156,675.145500761163,2.909107276758461,182.85452270507812,50.46318627899768,3.2138142585754395,29,0.0,0.0,0.0,27
-0.47577677194655343,-0.5732295321951429,0.23702919458023283,1.6126381922408393,667.7508542470515,2.8374935576008817,182.85452270507812,22.937811944998945,3.2138142585754395,56,0.0,0.0,0.0,28
